frequency_relative_to_carrier_hz	psd_relative_db
-37453.125000	-55.446501
-37450.195312	-56.097101
-37447.265625	-55.455346
-37444.335938	-55.226416
-37441.406250	-54.250476
-37438.476562	-55.775422
-37435.546875	-54.544995
-37432.617188	-54.674639
-37429.687500	-53.501606
-37426.757812	-53.487988
-37423.828125	-54.384038
-37420.898438	-55.180312
-37417.968750	-55.199926
-37415.039062	-54.185949
-37412.109375	-55.095317
-37409.179688	-55.104638
-37406.250000	-54.746062
-37403.320312	-54.561209
-37400.390625	-54.504643
-37397.460938	-54.492376
-37394.531250	-55.350543
-37391.601562	-55.463863
-37388.671875	-54.854328
-37385.742188	-54.391130
-37382.812500	-53.930698
-37379.882812	-53.616860
-37376.953125	-54.231842
-37374.023438	-55.174756
-37371.093750	-55.036358
-37368.164062	-55.148602
-37365.234375	-54.399495
-37362.304688	-54.141153
-37359.375000	-54.270290
-37356.445312	-55.112895
-37353.515625	-55.006608
-37350.585938	-54.638163
-37347.656250	-55.786159
-37344.726562	-55.601272
-37341.796875	-55.573599
-37338.867188	-54.648559
-37335.937500	-55.010158
-37333.007812	-54.222701
-37330.078125	-55.150764
-37327.148438	-55.259468
-37324.218750	-55.213104
-37321.289062	-55.804350
-37318.359375	-55.365114
-37315.429688	-55.103912
-37312.500000	-55.382952
-37309.570312	-54.692402
-37306.640625	-54.944692
-37303.710938	-56.221043
-37300.781250	-54.567994
-37297.851562	-55.526562
-37294.921875	-54.974218
-37291.992188	-54.120472
-37289.062500	-55.390286
-37286.132812	-55.010428
-37283.203125	-54.523228
-37280.273438	-55.198857
-37277.343750	-55.420779
-37274.414062	-56.046405
-37271.484375	-56.193553
-37268.554688	-55.108568
-37265.625000	-54.437415
-37262.695312	-54.990580
-37259.765625	-54.808404
-37256.835938	-54.512927
-37253.906250	-55.039645
-37250.976562	-54.755028
-37248.046875	-54.947558
-37245.117188	-54.920462
-37242.187500	-55.160957
-37239.257812	-55.613030
-37236.328125	-53.678653
-37233.398438	-53.235663
-37230.468750	-54.478517
-37227.539062	-54.553410
-37224.609375	-53.888276
-37221.679688	-54.671609
-37218.750000	-54.334725
-37215.820312	-54.465330
-37212.890625	-54.609156
-37209.960938	-55.449250
-37207.031250	-54.912817
-37204.101562	-53.686461
-37201.171875	-54.091306
-37198.242188	-54.939935
-37195.312500	-53.875158
-37192.382812	-54.462698
-37189.453125	-54.936002
-37186.523438	-54.423342
-37183.593750	-54.840126
-37180.664062	-55.094216
-37177.734375	-55.432725
-37174.804688	-55.071472
-37171.875000	-55.960554
-37168.945312	-55.890905
-37166.015625	-54.581859
-37163.085938	-53.660842
-37160.156250	-54.915690
-37157.226562	-54.901583
-37154.296875	-55.192937
-37151.367188	-55.695723
-37148.437500	-55.591960
-37145.507812	-55.416084
-37142.578125	-55.546237
-37139.648438	-54.698477
-37136.718750	-54.559651
-37133.789062	-54.098797
-37130.859375	-53.838117
-37127.929688	-54.814997
-37125.000000	-54.561657
-37122.070312	-54.799631
-37119.140625	-54.512737
-37116.210938	-53.390769
-37113.281250	-54.241391
-37110.351562	-55.313835
-37107.421875	-56.273031
-37104.492188	-55.339469
-37101.562500	-54.303351
-37098.632812	-54.444828
-37095.703125	-53.283403
-37092.773438	-54.064586
-37089.843750	-54.723763
-37086.914062	-53.496451
-37083.984375	-53.450187
-37081.054688	-54.210512
-37078.125000	-54.675125
-37075.195312	-54.181645
-37072.265625	-55.010297
-37069.335938	-54.513098
-37066.406250	-55.346401
-37063.476562	-55.255910
-37060.546875	-54.642744
-37057.617188	-54.924076
-37054.687500	-54.889404
-37051.757812	-55.054473
-37048.828125	-54.368954
-37045.898438	-54.963272
-37042.968750	-55.766274
-37040.039062	-55.637950
-37037.109375	-55.698091
-37034.179688	-54.710506
-37031.250000	-54.161848
-37028.320312	-55.200016
-37025.390625	-54.780786
-37022.460938	-54.262371
-37019.531250	-55.680412
-37016.601562	-54.858206
-37013.671875	-54.630248
-37010.742188	-55.483881
-37007.812500	-54.790036
-37004.882812	-53.593295
-37001.953125	-55.045553
-36999.023438	-56.857421
-36996.093750	-55.318910
-36993.164062	-53.649474
-36990.234375	-53.400348
-36987.304688	-53.759870
-36984.375000	-55.221774
-36981.445312	-54.724288
-36978.515625	-53.689828
-36975.585938	-54.633269
-36972.656250	-54.212253
-36969.726562	-53.660381
-36966.796875	-54.670759
-36963.867188	-55.062971
-36960.937500	-55.004099
-36958.007812	-54.099796
-36955.078125	-54.136347
-36952.148438	-54.892570
-36949.218750	-54.439499
-36946.289062	-55.467556
-36943.359375	-54.661939
-36940.429688	-54.990797
-36937.500000	-55.482709
-36934.570312	-54.577807
-36931.640625	-54.461831
-36928.710938	-54.611859
-36925.781250	-55.411344
-36922.851562	-55.358823
-36919.921875	-53.779470
-36916.992188	-54.387497
-36914.062500	-55.190503
-36911.132812	-55.763959
-36908.203125	-55.235197
-36905.273438	-54.414152
-36902.343750	-55.649706
-36899.414062	-55.098546
-36896.484375	-54.830690
-36893.554688	-55.165204
-36890.625000	-55.463152
-36887.695312	-55.629357
-36884.765625	-56.183068
-36881.835938	-56.231275
-36878.906250	-55.035265
-36875.976562	-55.142783
-36873.046875	-54.393191
-36870.117188	-55.829555
